t,rs_x,rs_y,rs_z,py_x,py_y,py_z
0.0050,-0.279464,-0.260428,1.410631,-0.279464,-0.260428,1.410631
0.0100,-0.278102,-0.261092,1.411504,-0.278102,-0.261092,1.411504
0.0150,-0.276788,-0.261980,1.412307,-0.276788,-0.261980,1.412307
0.0200,-0.275531,-0.263142,1.413080,-0.275531,-0.263142,1.413080
0.0250,-0.274341,-0.264629,1.413856,-0.274341,-0.264629,1.413856
0.0300,-0.273226,-0.266488,1.414668,-0.273226,-0.266488,1.414668
0.0350,-0.272192,-0.268759,1.415541,-0.272192,-0.268759,1.415541
0.0400,-0.271246,-0.271479,1.416496,-0.271246,-0.271479,1.416496
0.0450,-0.270393,-0.274677,1.417550,-0.270393,-0.274677,1.417550
0.0500,-0.269635,-0.278380,1.418715,-0.269635,-0.278380,1.418715
0.0550,-0.268976,-0.282608,1.420000,-0.268976,-0.282608,1.420000
0.0600,-0.268418,-0.287378,1.421410,-0.268418,-0.287378,1.421410
0.0650,-0.267963,-0.292701,1.422948,-0.267963,-0.292701,1.422948
0.0700,-0.267611,-0.298588,1.424613,-0.267611,-0.298588,1.424613
0.0750,-0.267364,-0.305044,1.426404,-0.267364,-0.305044,1.426404
0.0800,-0.267220,-0.312075,1.428318,-0.267220,-0.312075,1.428318
0.0850,-0.267180,-0.319682,1.430351,-0.267180,-0.319682,1.430351
0.0900,-0.267244,-0.327864,1.432496,-0.267244,-0.327864,1.432496
0.0950,-0.267412,-0.336621,1.434747,-0.267412,-0.336621,1.434747
0.1000,-0.267682,-0.345947,1.437096,-0.267682,-0.345947,1.437096
0.1050,-0.268051,-0.355823,1.439527,-0.268051,-0.355823,1.439527
0.1100,-0.268512,-0.366201,1.442009,-0.268512,-0.366201,1.442009
0.1150,-0.269051,-0.377011,1.444499,-0.269051,-0.377011,1.444499
0.1200,-0.269653,-0.388159,1.446944,-0.269653,-0.388159,1.446944
0.1250,-0.270297,-0.399540,1.449286,-0.270297,-0.399540,1.449286
0.1300,-0.270972,-0.411081,1.451487,-0.270972,-0.411081,1.451487
0.1350,-0.271668,-0.422745,1.453528,-0.271668,-0.422745,1.453528
0.1400,-0.272384,-0.434518,1.455399,-0.272384,-0.434518,1.455399
0.1450,-0.273117,-0.446394,1.457101,-0.273117,-0.446394,1.457101
0.1500,-0.273868,-0.458376,1.458636,-0.273868,-0.458376,1.458636
0.1550,-0.274635,-0.470464,1.460006,-0.274635,-0.470464,1.460006
0.1600,-0.275418,-0.482658,1.461215,-0.275418,-0.482658,1.461215
0.1650,-0.276216,-0.494954,1.462265,-0.276216,-0.494954,1.462265
0.1700,-0.277026,-0.507341,1.463156,-0.277026,-0.507341,1.463156
0.1750,-0.277844,-0.519808,1.463887,-0.277844,-0.519808,1.463887
0.1800,-0.278668,-0.532337,1.464455,-0.278668,-0.532337,1.464455
0.1850,-0.279491,-0.544908,1.464853,-0.279491,-0.544908,1.464853
